Date, Open, High, Low, Close
04/23/18, 317.32, 318.28, 316.50, 317.89
04/20/18, 318.60, 319.39, 317.29, 317.89
04/19/18, 319.26, 320.68, 318.47, 320.12
04/18/18, 316.58, 319.28, 316.55, 318.64
04/17/18, 315.44, 316.48, 313.95, 314.64
04/16/18, 316.45, 316.53, 314.14, 315.17
04/13/18, 314.42, 315.71, 313.77, 314.86
04/12/18, 313.92, 314.69, 312.99, 313.22
04/11/18, 314.83, 315.45, 312.44, 312.94
04/10/18, 312.53, 314.77, 309.58, 313.94
04/09/18, 310.88, 313.88, 310.86, 313.45
04/06/18, 310.39, 312.32, 309.73, 311.61
04/05/18, 311.12, 314.53, 310.30, 313.04
04/04/18, 314.21, 314.21, 308.33, 308.54
04/03/18, 311.03, 313.38, 309.91, 313.38
04/02/18, 315.56, 317.07, 313.62, 314.00
03/30/18, 316.19, 316.92, 314.59, 314.61
03/29/18, 312.03, 314.45, 310.80, 313.82
03/28/18, 312.54, 313.06, 310.35, 311.81
03/27/18, 317.22, 317.39, 315.24, 316.34
03/26/18, 311.93, 314.89, 309.85, 314.89
03/23/18, 316.60, 317.13, 311.78, 312.42
03/22/18, 322.97, 324.72, 321.80, 323.32
03/21/18, 322.19, 322.85, 321.46, 321.60
03/20/18, 317.79, 321.80, 317.66, 321.79
03/19/18, 322.57, 322.80, 319.72, 320.35
03/16/18, 322.94, 323.42, 320.30, 322.88
03/15/18, 322.06, 323.44, 319.76, 322.74
03/14/18, 320.72, 322.27, 320.39, 321.99
03/13/18, 320.98, 322.98, 320.37, 322.98
03/12/18, 321.32, 321.86, 319.69, 320.70
03/09/18, 316.06, 320.47, 314.87, 317.67
03/08/18, 313.62, 314.78, 311.04, 314.78
03/07/18, 311.57, 314.11, 309.11, 311.14
03/06/18, 308.15, 310.65, 306.95, 310.46
03/05/18, 308.39, 308.79, 304.46, 304.58
03/02/18, 310.11, 310.42, 306.88, 308.35
02/28/18, 315.89, 317.42, 312.75, 312.86
02/27/18, 319.52, 320.71, 316.83, 316.83
02/26/18, 318.49, 318.60, 316.12, 317.34
02/23/18, 313.89, 316.81, 313.89, 316.81
02/22/18, 312.72, 313.49, 311.13, 312.17
02/21/18, 313.14, 314.95, 310.99, 314.47
02/20/18, 315.19, 315.73, 312.20, 312.83
02/19/18, 318.42, 318.80, 314.51, 316.61
02/14/18, 313.33, 315.53, 312.81, 314.40
02/13/18, 310.45, 314.15, 309.23, 310.87
02/12/18, 306.91, 309.65, 305.17, 308.13
02/09/18, 303.54, 306.34, 303.47, 304.83
02/08/18, 310.84, 314.24, 309.95, 311.62
02/07/18, 322.06, 322.10, 310.47, 310.48
02/06/18, 316.62, 319.15, 312.62, 318.01
02/05/18, 322.05, 324.64, 320.60, 323.29
02/02/18, 332.69, 332.69, 326.30, 327.01
02/01/18, 335.06, 335.66, 332.93, 333.36
01/31/18, 332.38, 338.48, 331.65, 333.38
01/30/18, 336.62, 337.88, 333.40, 333.40
01/29/18, 337.28, 339.27, 337.05, 338.05
01/26/18, 333.75, 335.38, 332.51, 335.38
01/25/18, 330.67, 334.50, 330.60, 334.08
01/24/18, 330.37, 332.44, 329.86, 330.91
01/23/18, 327.42, 330.93, 327.17, 330.93
01/22/18, 328.78, 328.84, 324.56, 326.27
01/19/18, 329.81, 330.55, 328.51, 329.52
01/18/18, 331.03, 331.88, 328.77, 329.13
01/17/18, 329.31, 330.21, 328.03, 329.19
01/16/18, 327.44, 330.50, 326.65, 330.02
01/15/18, 328.57, 328.94, 326.21, 327.39
01/12/18, 327.34, 327.50, 324.22, 326.72
01/11/18, 326.92, 327.98, 325.07, 325.67
01/10/18, 330.87, 330.97, 327.07, 327.61
01/09/18, 330.67, 332.70, 328.53, 330.25
01/08/18, 330.83, 331.65, 328.47, 331.28
01/05/18, 326.06, 329.03, 325.78, 328.97
01/04/18, 329.52, 329.52, 324.58, 324.58
01/03/18, 327.13, 328.37, 326.56, 327.13
01/02/18, 325.73, 326.45, 324.30, 326.00
12/28/17, 320.63, 324.74, 320.34, 324.74
12/27/17, 318.18, 320.25, 316.90, 320.25
12/26/17, 322.14, 323.43, 318.89, 318.89
12/22/17, 320.86, 321.89, 319.55, 321.21
12/21/17, 325.82, 325.88, 319.72, 319.72
12/20/17, 326.20, 327.51, 325.55, 325.79
12/19/17, 327.62, 329.43, 325.82, 326.76
12/18/17, 327.09, 327.16, 325.64, 326.60
12/15/17, 327.39, 328.34, 325.36, 326.23
12/14/17, 327.00, 331.22, 324.74, 324.74
12/13/17, 324.14, 326.58, 323.13, 326.18
12/12/17, 325.15, 325.26, 323.27, 324.07
12/11/17, 325.13, 325.40, 323.34, 325.09
12/08/17, 324.84, 325.38, 323.42, 324.68
12/07/17, 325.31, 325.53, 322.39, 323.59
12/06/17, 329.48, 329.51, 324.52, 324.52
12/05/17, 326.77, 330.17, 326.34, 329.61
12/04/17, 326.31, 328.77, 324.88, 328.77
12/01/17, 326.85, 326.85, 324.50, 324.78
11/30/17, 328.45, 329.55, 324.82, 325.25
11/29/17, 331.41, 332.22, 330.04, 330.68
11/28/17, 330.19, 331.58, 328.51, 330.99
11/27/17, 335.24, 335.61, 329.47, 329.53
11/24/17, 334.77, 335.44, 333.86, 335.44
11/23/17, 335.66, 335.89, 333.99, 334.51
11/22/17, 335.93, 337.05, 334.62, 335.49
11/21/17, 333.78, 334.92, 332.70, 333.51
11/20/17, 334.43, 335.18, 332.26, 332.92
11/17/17, 336.05, 338.04, 334.18, 334.18
11/16/17, 332.75, 334.92, 331.84, 334.36
11/15/17, 333.39, 333.60, 331.36, 332.17
11/14/17, 334.63, 334.73, 333.13, 333.62
11/13/17, 336.63, 337.34, 333.73, 334.33
11/10/17, 335.64, 336.69, 334.63, 335.96
11/09/17, 338.55, 338.59, 334.99, 337.14
11/08/17, 335.20, 338.90, 335.02, 337.80
11/07/17, 337.23, 338.35, 336.00, 336.76
11/06/17, 338.66, 339.01, 334.53, 337.40
11/03/17, 339.08, 339.12, 336.16, 338.83
11/02/17, 339.33, 339.59, 336.83, 337.53
11/01/17, 335.67, 338.76, 335.60, 338.76
10/31/17, 330.05, 334.40, 329.66, 333.57
10/30/17, 331.72, 331.72, 329.62, 330.38
10/27/17, 327.50, 329.75, 326.62, 329.23
10/26/17, 328.63, 329.65, 326.99, 326.99
10/25/17, 329.75, 330.05, 327.84, 329.31
10/24/17, 329.34, 330.12, 328.91, 328.96
10/23/17, 330.24, 330.55, 328.50, 329.45
10/20/17, 327.08, 328.89, 327.02, 328.89
10/19/17, 328.67, 329.34, 326.04, 326.47
10/18/17, 328.06, 329.43, 327.13, 328.40
10/17/17, 328.69, 329.21, 327.84, 328.51
10/16/17, 328.57, 329.42, 326.99, 327.82
10/13/17, 327.70, 328.44, 326.65, 327.35
10/12/17, 326.58, 328.11, 325.96, 328.11
10/11/17, 323.97, 326.20, 323.43, 326.12
10/10/17, 321.29, 324.00, 320.57, 322.49
09/29/17, 314.60, 316.45, 314.60, 316.27
09/28/17, 314.32, 315.17, 312.88, 313.85
09/27/17, 314.73, 314.73, 313.32, 313.82
09/26/17, 314.96, 315.68, 313.68, 314.29
09/25/17, 316.81, 317.35, 315.30, 316.40
09/22/17, 318.06, 319.15, 315.47, 316.71
09/21/17, 318.38, 319.23, 317.40, 318.25
09/20/17, 319.10, 320.40, 317.19, 318.48
